uname,mid,level,sex,send_time,like,is_sub,text
双目连,12261310,4,保密,2021-05-03 17:06:33,1,True,回复 @oo00oo00oo00oo :特斯拉阉割激光组还能洗地啊，华为还没投入市场先不谈，光知道的硬件配置，华为不吊打特斯拉？
oo00oo00oo00oo,22191556,5,保密,2021-05-03 17:22:12,0,True,回复 @双目连 :那么贵 你买单？
双目连,12261310,4,保密,2021-05-03 17:48:16,1,True,回复 @oo00oo00oo00oo :你是在说特斯拉贵吗，这些电动车里面，华为可不算贵
一式景一,472127609,5,保密,2021-05-03 20:50:15,0,True,"回复 @oo00oo00oo00oo :我看特斯拉的黑新闻都被刷屏了,居然还有人吹,看来是脑袋还没撞坏,请多来几遍。"
oo00oo00oo00oo,22191556,5,保密,2021-05-04 09:52:42,0,True,回复 @一式景一 :黑新闻是有组织有预谋的团队行为，背后有一帮人在搞特斯拉
种花家淘货喵,646511761,4,保密,2021-05-04 13:48:07,2,True,回复 @wenleiay :不麻烦不麻烦 ，解决提出问题的人就行了
夜风lx,295948517,5,保密,2021-05-04 20:42:57,1,True,回复 @oo00oo00oo00oo :一句那么贵你买单，你已经暴露了你的身份
东方星痕,1886878,5,男,2021-05-05 15:34:00,1,True,回复 @oo00oo00oo00oo :20家公司的国际比赛中，特斯拉第18名，还没百度的第四高
极客信条,31642092,5,男,2021-05-08 19:12:16,1,True,特尸拉没有自动驾驶，L2级都达不到
BAKA_雅蠛蝶,1437220,6,保密,2021-05-15 10:47:20,0,True,回复 @oo00oo00oo00oo :建议多吃点门挤过的核桃补补
゘゘゘゘゘゘,43271150,6,保密,2021-05-18 13:59:56,0,True,回复 @oo00oo00oo00oo :客观来看，华为的是否能够比得上，虽然并不好说。特斯拉目前的自动辅助驾驶系统的安全形式性有待商榷。
wuli大木叔叔,70720696,5,保密,2021-06-07 11:04:14,1,True,回复 @oo00oo00oo00oo :怎么一个985研究生 要盗别人的视频啊？[辣眼睛]
wuli大木叔叔,70720696,5,保密,2021-06-07 11:05:54,0,True,回复 @HUWEIV :你看他之前的投稿就能看出一些不对劲了，有些视频还 投了自制[doge]
Leo041105,374319861,5,保密,2021-10-16 19:45:30,0,True,回复 @oo00oo00oo00oo :终于找到一个顶级特孝子了[星星眼]
ywbsb,492819340,5,男,2021-04-18 13:28:59,709,False,限流是吧，我TM天天发朋友圈，我不信我周围人不知道
大魔导士比比,195524815,5,保密,2021-04-18 17:12:04,5,True,捧杀，到时候出个事华为直接万劫不复
不是我说呀,95304846,6,保密,2021-04-18 17:40:26,29,True,回复 @大魔导士比比 :特斯拉经常出事都没人管
CrMechanic,27252014,6,男,2021-04-19 10:04:21,123,True,你周围的人把北汽和长安股票冲涨停了，你以为不知道呢[doge]
我想走的更好,311290961,6,男,2021-04-19 16:26:35,8,True,回复 @CrMechanic :我在里面等着别人抬轿子，真爽[笑哭][笑哭][笑哭]
ywbsb,492819340,5,男,2021-04-19 16:52:05,29,True,回复 @CrMechanic :还是玩股票的消息最灵通，看来是我多虑了
出来洗地了,1547066,6,保密,2021-04-20 07:15:27,4,True,回复 @大魔导士比比 :特斯拉都这样了还没万劫不复呢[doge]
-克蕾尔-,294728284,6,保密,2021-04-24 20:08:57,1,True,回复 @大魔导士比比 :特斯拉笑了
